referrer,views_total,views_unique
keptn.sh,365,62
github.com,177,42
Google,176,45
youtube.com,70,2
t.co,35,10
DuckDuckGo,23,3
cncf.io,15,7
lifecycle.keptn.sh,9,2
medium.com,7,5
contribute.cncf.io,5,3
