referrer,views_total,views_unique
keptn.sh,126,37
Google,124,30
github.com,89,13
medium.com,26,2
chatgpt.com,8,6
cncf.io,7,6
contribute.cncf.io,6,1
t.co,5,1
search.brave.com,4,3
com.linkedin.android,3,3
