time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-25 00:00:00+00:00,85,27,4,4
2026-01-26 00:00:00+00:00,155,40,11,11
2026-01-27 00:00:00+00:00,87,21,33,17
2026-01-28 00:00:00+00:00,114,28,32,21
2026-01-29 00:00:00+00:00,166,35,15,15
2026-01-30 00:00:00+00:00,79,26,13,12
2026-01-31 00:00:00+00:00,28,12,21,12
2026-02-01 00:00:00+00:00,111,30,13,9
2026-02-02 00:00:00+00:00,95,32,13,10
2026-02-03 00:00:00+00:00,309,54,19,16
2026-02-04 00:00:00+00:00,61,39,104,17
2026-02-05 00:00:00+00:00,213,53,43,20
2026-02-06 00:00:00+00:00,63,28,21,12
2026-02-07 00:00:00+00:00,118,33,6,5
