referrer,views_total,views_unique
keptn.sh,432,57
github.com,267,28
Google,146,25
medium.com,18,9
Bing,12,3
thenewstack.io,8,5
cncf.io,3,3
youtube.com,3,2
DuckDuckGo,1,1
chatgpt.com,1,1
