url_path,views_total,views_unique
/keptn/lifecycle-toolkit,204,132
/keptn/lifecycle-toolkit/issues,23,12
/keptn/lifecycle-toolkit/pulls,14,7
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,10,5
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,7,7
/keptn/lifecycle-toolkit/graphs/contributors,7,3
/keptn/lifecycle-toolkit/pull/3871,7,2
/keptn/lifecycle-toolkit/issues/2823,6,6
/keptn/lifecycle-toolkit/tree/main/examples,6,5
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/base,6,4
