referrer,views_total,views_unique
keptn.sh,424,97
github.com,277,66
Google,237,66
Bing,26,3
youtube.com,22,3
lifecycle.keptn.sh,15,3
summerofcode.withgoogle.com,14,8
medium.com,13,4
cncf.io,9,7
teams.internal.dynatrace.com,8,1
