url_path,views_total,views_unique
/keptn/lifecycle-toolkit,206,125
/keptn/lifecycle-toolkit/releases,56,9
/keptn/lifecycle-toolkit/issues,33,15
/keptn/lifecycle-toolkit/tree/main/chart,23,6
/keptn/lifecycle-toolkit/issues/3783,14,3
/keptn/lifecycle-toolkit/blob/main/chart/Chart.yaml,12,4
/keptn/lifecycle-toolkit/issues/3920,11,4
/keptn/lifecycle-toolkit/releases/tag/keptn-v2.3.0,11,1
/keptn/lifecycle-toolkit/releases/tag/keptn-v2.5.0,9,3
/keptn/lifecycle-toolkit/compare/keptn-v2.2.0...keptn-v2.3.0,9,1
