time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-22 00:00:00+00:00,131,59,21,11
2025-11-23 00:00:00+00:00,311,97,8,8
2025-11-24 00:00:00+00:00,366,194,30,24
2025-11-25 00:00:00+00:00,266,131,36,16
2025-11-26 00:00:00+00:00,255,120,40,13
2025-11-27 00:00:00+00:00,416,164,27,18
2025-11-28 00:00:00+00:00,428,175,18,14
2025-11-29 00:00:00+00:00,453,194,6,6
2025-11-30 00:00:00+00:00,341,159,29,17
2025-12-01 00:00:00+00:00,414,177,55,15
2025-12-02 00:00:00+00:00,419,196,38,13
2025-12-03 00:00:00+00:00,818,262,17,13
2025-12-04 00:00:00+00:00,400,127,13,10
2025-12-05 00:00:00+00:00,134,67,16,9
