url_path,views_total,views_unique
/keptn/lifecycle-toolkit,148,107
/keptn/lifecycle-toolkit/issues,18,10
/keptn/lifecycle-toolkit/pulls,10,5
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,7,6
/keptn/lifecycle-toolkit/activity,7,1
/keptn/lifecycle-toolkit/graphs/contributors,6,4
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,5,4
/keptn/lifecycle-toolkit/pull/3922,5,1
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,3,3
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/assets/big-picture.png,3,3
