time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-13 00:00:00+00:00,319,130,63,52
2026-08-14 00:00:00+00:00,93,48,43,37
2026-08-15 00:00:00+00:00,520,115,43,40
2026-08-16 00:00:00+00:00,782,132,34,30
2026-08-17 00:00:00+00:00,202,32,41,35
2026-08-18 00:00:00+00:00,124,35,35,29
2026-08-19 00:00:00+00:00,200,41,60,45
2026-08-20 00:00:00+00:00,112,42,75,69
2026-08-21 00:00:00+00:00,166,52,25,18
2026-08-22 00:00:00+00:00,216,43,35,33
2026-08-23 00:00:00+00:00,341,167,53,46
2026-08-24 00:00:00+00:00,223,80,46,42
2026-08-25 00:00:00+00:00,85,66,61,37
2026-08-26 00:00:00+00:00,576,53,38,35
