url_path,views_total,views_unique
/keptn/lifecycle-toolkit,208,159
/keptn/lifecycle-toolkit/issues,37,22
/keptn/lifecycle-toolkit/pulls,20,14
/keptn/lifecycle-toolkit/tree/main/chart,9,6
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,8,6
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,8,5
/keptn/lifecycle-toolkit/releases/tag/keptn-v2.5.0,6,5
/keptn/lifecycle-toolkit/issues/3894,5,5
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,5,4
/keptn/lifecycle-toolkit/tree/main/examples,5,4
