referrer,views_total,views_unique
keptn.sh,417,96
github.com,308,67
Google,245,68
Bing,26,3
youtube.com,22,3
lifecycle.keptn.sh,15,3
medium.com,13,4
summerofcode.withgoogle.com,12,8
cncf.io,9,7
teams.internal.dynatrace.com,8,1
