url_path,views_total,views_unique
/keptn/lifecycle-toolkit,261,158
/keptn/lifecycle-toolkit/issues,75,25
/keptn/lifecycle-toolkit/tree/main/chart,61,13
/keptn/lifecycle-toolkit/tree/main/metrics-operator,40,7
/keptn/lifecycle-toolkit/blob/main/chart/values.yaml,28,8
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,28,8
/keptn/lifecycle-toolkit/pull/3729,28,2
/keptn/lifecycle-toolkit/pulls,27,13
/keptn/lifecycle-toolkit/blob/main/chart/Chart.yaml,26,7
/keptn/lifecycle-toolkit/graphs/contributors,25,5
