referrer,views_total,views_unique
keptn.sh,587,58
Google,175,47
github.com,100,22
yandex.ru,75,1
medium.com,19,9
DuckDuckGo,17,4
Bing,17,2
cncf.io,16,10
contribute.cncf.io,6,3
goodfirstissues.com,4,2
