referrer,views_total,views_unique
Google,119,43
github.com,105,19
keptn.sh,100,38
statics.teams.cdn.office.net,53,4
kyverno.github.io,19,2
Bing,17,3
medium.com,12,6
cncf.io,9,4
search.brave.com,9,1
chatgpt.com,3,3
