time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,1069,17,323,18
2024-11-01 00:00:00+00:00,38,7,106,19
2024-11-02 00:00:00+00:00,3,3,7,7
2024-11-03 00:00:00+00:00,67,12,26,9
2024-11-04 00:00:00+00:00,1297,21,524,50
2024-11-05 00:00:00+00:00,1101,27,287,23
2024-11-06 00:00:00+00:00,12,10,81,27
2024-11-07 00:00:00+00:00,26,7,61,18
2024-11-08 00:00:00+00:00,104,10,27,15
2024-11-09 00:00:00+00:00,24,11,25,6
2024-11-10 00:00:00+00:00,3,3,13,9
2024-11-11 00:00:00+00:00,2654,33,507,25
2024-11-12 00:00:00+00:00,341,15,121,40
2024-11-13 00:00:00+00:00,48,4,88,19
