referrer,views_total,views_unique
keptn.sh,183,53
Google,118,32
github.com,61,15
testkube.io,14,7
statics.teams.cdn.office.net,9,3
medium.com,8,2
cncf.io,4,4
chatgpt.com,4,4
com.linkedin.android,1,1
Bing,1,1
