referrer,views_total,views_unique
github.com,344,61
keptn.sh,306,92
Google,239,50
medium.com,66,10
linktr.ee,20,1
youtube.com,17,2
cloudevents.io,16,1
dynatrace.com,15,1
Bing,10,4
contribute.cncf.io,9,3
