time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-08 00:00:00+00:00,41,9,12,7
2024-12-09 00:00:00+00:00,35,5,74,20
2024-12-10 00:00:00+00:00,414,12,176,31
2024-12-11 00:00:00+00:00,55,11,78,26
2024-12-12 00:00:00+00:00,48,10,59,25
2024-12-13 00:00:00+00:00,97,13,56,20
2024-12-14 00:00:00+00:00,103,8,6,4
2024-12-15 00:00:00+00:00,27,7,18,10
2024-12-16 00:00:00+00:00,41,6,66,17
2024-12-17 00:00:00+00:00,31,7,64,18
2024-12-18 00:00:00+00:00,5,4,86,20
2024-12-19 00:00:00+00:00,40,5,37,16
2024-12-20 00:00:00+00:00,57,13,31,18
2024-12-21 00:00:00+00:00,3,3,52,9
