referrer,views_total,views_unique
keptn.sh,230,47
Google,122,32
github.com,75,22
statics.teams.cdn.office.net,16,5
testkube.io,14,7
chatgpt.com,11,7
DuckDuckGo,10,1
medium.com,8,1
kyverno.github.io,7,1
cncf.io,3,3
