url_path,views_total,views_unique
/keptn/lifecycle-toolkit,338,197
/keptn/lifecycle-toolkit/issues,99,32
/keptn/lifecycle-toolkit/pulls,65,17
/keptn/lifecycle-toolkit/tree/main/examples/support,57,4
/keptn/lifecycle-toolkit/tree/main/examples,49,8
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,46,12
/keptn/lifecycle-toolkit/pull/3487,36,5
/keptn/lifecycle-toolkit/tree/main/chart,33,9
/keptn/lifecycle-toolkit/tree/main/examples/support/observability,33,2
/keptn/lifecycle-toolkit/pull/3500,32,8
