referrer,views_total,views_unique
keptn.sh,317,70
Google,283,43
v1.keptn.sh,153,2
github.com,108,18
medium.com,18,6
thenewstack.io,16,12
dt-rnd.atlassian.net,11,1
cncf.io,9,3
Bing,8,3
com.google.android.gm,5,4
