referrer,views_total,views_unique
github.com,870,74
Google,214,62
keptn.sh,199,54
readthedocs.org,41,2
summerofcode.withgoogle.com,29,15
infoq.com,19,11
lifecycle.keptn.sh,12,2
linkedin.com,11,3
medium.com,9,6
docs.google.com,9,4
