time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-08 00:00:00+00:00,29,5,148,16
2024-08-09 00:00:00+00:00,33,11,139,20
2024-08-10 00:00:00+00:00,5,4,65,10
2024-08-11 00:00:00+00:00,7,3,10,7
2024-08-12 00:00:00+00:00,88,11,249,25
2024-08-13 00:00:00+00:00,56,7,229,25
2024-08-14 00:00:00+00:00,10,5,63,18
2024-08-15 00:00:00+00:00,27,7,199,15
2024-08-16 00:00:00+00:00,100,11,145,21
2024-08-17 00:00:00+00:00,58,9,62,6
2024-08-18 00:00:00+00:00,3,2,21,12
2024-08-19 00:00:00+00:00,74,12,202,26
2024-08-20 00:00:00+00:00,168,11,214,28
2024-08-21 00:00:00+00:00,206,7,162,30
