referrer,views_total,views_unique
Google,235,43
keptn.sh,174,50
github.com,158,26
statics.teams.cdn.office.net,59,6
DuckDuckGo,24,2
kyverno.github.io,19,2
medium.com,13,6
Bing,11,3
cncf.io,8,5
gartner.atlassian.net,8,1
