url_path,views_total,views_unique
/keptn/lifecycle-toolkit,206,124
/keptn/lifecycle-toolkit/releases,47,7
/keptn/lifecycle-toolkit/issues,39,15
/keptn/lifecycle-toolkit/tree/main/chart,21,7
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/version-1/app-pre-deploy.yaml,18,4
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/version-1/app-pre-deploy-eval.yaml,14,6
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,13,9
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/version-1/appcontext.yaml,13,4
/keptn/lifecycle-toolkit/blob/main/chart/Chart.yaml,12,4
/keptn/lifecycle-toolkit/issues/3783,11,2
