referrer,views_total,views_unique
Google,308,45
keptn.sh,294,54
Bing,174,5
github.com,157,29
medium.com,46,8
statics.teams.cdn.office.net,5,2
youtube.com,5,1
cncf.io,4,4
DuckDuckGo,2,2
skyscanner.atlassian.net,2,1
