url_path,views_total,views_unique
/keptn/lifecycle-toolkit,246,140
/keptn/lifecycle-toolkit/issues,63,18
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,50,10
/keptn/lifecycle-toolkit/pull/3113/files,30,4
/keptn/lifecycle-toolkit/issues/3121,28,8
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator/controllers/lifecycle,25,5
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator/controllers,22,5
/keptn/lifecycle-toolkit/pulls,21,8
/keptn/lifecycle-toolkit/pull/3581,18,6
/keptn/lifecycle-toolkit/tree/main/docs,18,6
