url_path,views_total,views_unique
/keptn/lifecycle-toolkit,112,86
/keptn/lifecycle-toolkit/tree/main/chart,24,10
/keptn/lifecycle-toolkit/issues,15,9
/keptn/lifecycle-toolkit/tree/main,13,6
/keptn/lifecycle-toolkit/blob/main/chart/values.yaml,12,7
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,12,3
/keptn/lifecycle-toolkit/issues/2171,11,4
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/version-1,10,1
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,9,4
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator/chart,8,3
