url_path,views_total,views_unique
/keptn/lifecycle-toolkit,152,113
/keptn/lifecycle-toolkit/issues,23,9
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,12,6
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/base,10,2
/keptn/lifecycle-toolkit/tree/main/metrics-operator,6,3
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/version-2,6,2
/keptn/lifecycle-toolkit/issues/2262,6,1
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,5,4
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/README.md,5,2
/keptn/lifecycle-toolkit/issues/2823,4,4
