url_path,views_total,views_unique
/keptn/lifecycle-toolkit,70,51
/keptn/lifecycle-toolkit/issues,9,6
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator/config/samples,4,2
/keptn/lifecycle-toolkit/tree/main/chart,4,1
/keptn/lifecycle-toolkit/issues/454,3,3
/keptn/lifecycle-toolkit/releases/tag/keptn-v2.5.0,3,3
/keptn/lifecycle-toolkit/issues/3360,3,2
/keptn/lifecycle-toolkit/tree/main,3,2
/keptn/lifecycle-toolkit/blob/main/LICENSE,2,2
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,2,2
