referrer,views_total,views_unique
keptn.sh,181,43
Google,140,37
github.com,68,19
chatgpt.com,18,9
statics.teams.cdn.office.net,16,5
DuckDuckGo,10,1
testkube.io,9,6
medium.com,9,2
kyverno.github.io,7,1
Bing,6,2
