time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-22 00:00:00+00:00,181,83,105,31
2025-04-23 00:00:00+00:00,130,70,51,17
2025-04-24 00:00:00+00:00,143,45,63,21
2025-04-25 00:00:00+00:00,48,17,102,31
2025-04-26 00:00:00+00:00,270,65,29,12
2025-04-27 00:00:00+00:00,246,86,13,10
2025-04-28 00:00:00+00:00,113,62,58,24
2025-04-29 00:00:00+00:00,98,50,88,21
2025-04-30 00:00:00+00:00,42,25,61,21
2025-05-01 00:00:00+00:00,23,14,82,12
2025-05-02 00:00:00+00:00,30,17,13,8
2025-05-03 00:00:00+00:00,28,16,23,9
2025-05-04 00:00:00+00:00,30,15,16,5
2025-05-05 00:00:00+00:00,75,17,95,10
