url_path,views_total,views_unique
/keptn/lifecycle-toolkit,70,53
/keptn/lifecycle-toolkit/issues,6,4
/keptn/lifecycle-toolkit/blob/main/lifecycle-operator/Dockerfile,5,4
/keptn/lifecycle-toolkit/releases,5,3
/keptn/lifecycle-toolkit/blob/main/examples/Makefile,4,3
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator/config/samples,4,2
/keptn/lifecycle-toolkit/releases/tag/keptn-v2.5.0,3,3
/keptn/lifecycle-toolkit/blob/main/renovate.json,3,2
/keptn/lifecycle-toolkit/pulls,3,2
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,3,2
