time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,217,63,3,3
2026-03-09 00:00:00+00:00,185,97,12,10
2026-03-10 00:00:00+00:00,112,82,7,6
2026-03-11 00:00:00+00:00,79,27,39,11
2026-03-12 00:00:00+00:00,157,65,23,9
2026-03-13 00:00:00+00:00,179,53,11,5
2026-03-14 00:00:00+00:00,171,41,4,4
2026-03-15 00:00:00+00:00,32,19,7,7
2026-03-16 00:00:00+00:00,66,33,25,8
2026-03-17 00:00:00+00:00,69,26,22,8
2026-03-18 00:00:00+00:00,327,45,9,6
2026-03-19 00:00:00+00:00,167,38,8,6
2026-03-20 00:00:00+00:00,148,44,13,9
2026-03-21 00:00:00+00:00,161,42,12,2
