time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-23 00:00:00+00:00,243,59,4,2
2025-08-24 00:00:00+00:00,326,134,3,3
2025-08-25 00:00:00+00:00,231,77,25,15
2025-08-26 00:00:00+00:00,102,57,23,14
2025-08-27 00:00:00+00:00,116,63,49,24
2025-08-28 00:00:00+00:00,88,46,29,14
2025-08-29 00:00:00+00:00,68,39,18,13
2025-08-30 00:00:00+00:00,178,55,7,5
2025-08-31 00:00:00+00:00,96,49,39,5
2025-09-01 00:00:00+00:00,263,101,29,11
2025-09-02 00:00:00+00:00,148,83,38,17
2025-09-03 00:00:00+00:00,176,74,33,16
2025-09-04 00:00:00+00:00,158,66,30,18
2025-09-05 00:00:00+00:00,296,134,29,9
