time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,265,92,13,8
2026-06-12 00:00:00+00:00,381,95,52,46
2026-06-13 00:00:00+00:00,211,83,66,64
2026-06-14 00:00:00+00:00,310,94,17,11
2026-06-15 00:00:00+00:00,169,68,23,22
2026-06-16 00:00:00+00:00,166,54,12,9
2026-06-17 00:00:00+00:00,238,68,11,11
2026-06-18 00:00:00+00:00,133,56,17,16
2026-06-19 00:00:00+00:00,291,99,35,32
2026-06-20 00:00:00+00:00,244,69,3,3
2026-06-21 00:00:00+00:00,252,73,6,3
2026-06-22 00:00:00+00:00,152,62,14,9
2026-06-23 00:00:00+00:00,161,69,10,9
2026-06-24 00:00:00+00:00,862,89,9,9
