referrer,views_total,views_unique
github.com,1010,80
keptn.sh,398,70
Google,307,60
youtube.com,30,2
summerofcode.withgoogle.com,29,16
readthedocs.org,29,1
infoq.com,18,10
t.co,17,3
lifecycle.keptn.sh,14,3
medium.com,12,7
