referrer,views_total,views_unique
keptn.sh,610,62
Google,148,46
github.com,86,23
youtube.com,47,2
cncf.io,25,10
medium.com,18,3
lifecycle.keptn.sh,8,1
goodfirstissues.com,8,1
search.brave.com,2,2
yandex.ru,1,1
