referrer,views_total,views_unique
keptn.sh,137,32
Google,41,26
github.com,6,6
cncf.io,6,3
medium.com,2,2
Bing,2,1
search.brave.com,2,1
DuckDuckGo,1,1
doubao.com,1,1
