time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,2494,148,35,32
2026-07-23 00:00:00+00:00,1870,161,55,49
2026-07-24 00:00:00+00:00,170,37,74,53
2026-07-25 00:00:00+00:00,162,51,78,66
2026-07-26 00:00:00+00:00,3430,56,98,89
2026-07-27 00:00:00+00:00,115,29,61,42
2026-07-28 00:00:00+00:00,83,46,46,30
2026-07-29 00:00:00+00:00,186,60,36,30
2026-07-30 00:00:00+00:00,145,28,32,25
2026-07-31 00:00:00+00:00,184,43,28,19
2026-08-01 00:00:00+00:00,120,34,22,12
2026-08-02 00:00:00+00:00,132,36,24,10
2026-08-03 00:00:00+00:00,61,41,112,93
2026-08-04 00:00:00+00:00,143,55,85,62
