url_path,views_total,views_unique
/keptn/lifecycle-toolkit,48,40
/keptn/lifecycle-toolkit/issues,8,7
/keptn/lifecycle-toolkit/pulls,6,3
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,3,3
/keptn/lifecycle-toolkit/pull/3586,3,3
/keptn/lifecycle-toolkit/tree/main,3,2
/keptn/lifecycle-toolkit/blob/main/docs/docs/reference/crd-reference/analysis.md,2,2
/keptn/lifecycle-toolkit/commit/f03426537619908a864fce0ce10595fc25e722ea,2,2
/keptn/lifecycle-toolkit/discussions,2,2
/keptn/lifecycle-toolkit/pull/3013,2,2
