time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-26 00:00:00+00:00,185,43,10,6
2026-02-27 00:00:00+00:00,103,29,12,5
2026-02-28 00:00:00+00:00,207,37,0,0
2026-03-01 00:00:00+00:00,33,18,6,5
2026-03-02 00:00:00+00:00,81,33,3,3
2026-03-03 00:00:00+00:00,287,65,49,14
2026-03-04 00:00:00+00:00,238,69,14,8
2026-03-05 00:00:00+00:00,337,77,6,4
2026-03-06 00:00:00+00:00,229,72,30,7
2026-03-07 00:00:00+00:00,166,35,0,0
2026-03-08 00:00:00+00:00,217,63,3,3
2026-03-09 00:00:00+00:00,185,97,12,10
2026-03-10 00:00:00+00:00,112,82,7,6
2026-03-11 00:00:00+00:00,79,27,39,11
