referrer,views_total,views_unique
keptn.sh,495,55
Google,349,42
github.com,303,17
statics.teams.cdn.office.net,40,4
thenewstack.io,23,11
cncf.io,5,3
medium.com,4,3
tpx.sys.comcast.net,3,1
DuckDuckGo,2,2
search.brave.com,2,1
