referrer,views_total,views_unique
keptn.sh,419,94
github.com,249,62
Google,221,65
Bing,26,3
youtube.com,22,3
medium.com,20,5
summerofcode.withgoogle.com,15,8
lifecycle.keptn.sh,15,3
cncf.io,9,7
teams.internal.dynatrace.com,8,1
