referrer,views_total,views_unique
github.com,1002,54
keptn.sh,685,84
Google,398,54
goodfirstissues.com,45,8
medium.com,36,10
summerofcode.withgoogle.com,25,7
Bing,22,5
linkedin.com,20,2
cncf.io,12,6
landscape.cncf.io,10,8
