referrer,views_total,views_unique
Google,264,34
github.com,167,29
keptn.sh,123,36
cncf.io,8,6
dt-rnd.atlassian.net,4,2
dev.azure.com,4,2
medium.com,4,2
m.sogou.com,2,1
yandex.kz,2,1
com.google.android.gm,1,1
