referrer,views_total,views_unique
keptn.sh,185,48
github.com,139,26
Google,108,22
cncf.io,17,11
medium.com,8,4
contribute.cncf.io,8,3
statics.teams.cdn.office.net,2,1
Baidu,1,1
linkedin.com,1,1
kyverno.github.io,1,1
