referrer,views_total,views_unique
Google,101,23
keptn.sh,75,23
github.com,13,9
cncf.io,12,7
search.brave.com,2,2
plural.sh,2,1
wiki.one.int.sap,2,1
chatgpt.com,2,1
Bing,1,1
cn.bing.com,1,1
