time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-21 00:00:00+00:00,42,24,30,19
2026-01-22 00:00:00+00:00,72,28,19,14
2026-01-23 00:00:00+00:00,190,43,23,15
2026-01-24 00:00:00+00:00,264,45,9,8
2026-01-25 00:00:00+00:00,85,27,4,4
2026-01-26 00:00:00+00:00,155,40,11,11
2026-01-27 00:00:00+00:00,87,21,33,17
2026-01-28 00:00:00+00:00,114,28,32,21
2026-01-29 00:00:00+00:00,166,35,15,15
2026-01-30 00:00:00+00:00,79,26,13,12
2026-01-31 00:00:00+00:00,28,12,21,12
2026-02-01 00:00:00+00:00,111,30,13,9
2026-02-02 00:00:00+00:00,95,32,13,10
2026-02-03 00:00:00+00:00,309,54,19,16
