url_path,views_total,views_unique
/keptn/lifecycle-toolkit,151,122
/keptn/lifecycle-toolkit/tree/main/metrics-operator,19,6
/keptn/lifecycle-toolkit/issues/3727,10,6
/keptn/lifecycle-toolkit/issues,8,5
/keptn/lifecycle-toolkit/tree/main,8,4
/keptn/lifecycle-toolkit/tree/main/metrics-operator/controllers/common/providers,8,4
/keptn/lifecycle-toolkit/tree/main/dashboards/grafana,8,3
/keptn/lifecycle-toolkit/pulls,7,5
/keptn/lifecycle-toolkit/tree/main/examples,7,5
/keptn/lifecycle-toolkit/issues/454,6,4
