referrer,views_total,views_unique
keptn.sh,479,81
Google,320,51
github.com,236,47
medium.com,31,6
youtube.com,23,3
cncf.io,12,5
contribute.cncf.io,9,3
lifecycle.keptn.sh,6,2
conventionalcommits.org,6,2
dev.to,2,2
