referrer,views_total,views_unique
keptn.sh,251,43
Google,56,25
github.com,56,22
cncf.io,26,8
medium.com,7,3
Bing,6,2
kubernetes.io,6,1
m.sogou.com,3,1
blackbox.ai,2,1
com.linkedin.android,1,1
