time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-26 00:00:00+00:00,207,71,12,5
2025-07-27 00:00:00+00:00,177,74,17,9
2025-07-28 00:00:00+00:00,223,96,35,11
2025-07-29 00:00:00+00:00,143,79,38,18
2025-07-30 00:00:00+00:00,132,72,14,8
2025-07-31 00:00:00+00:00,140,62,39,19
2025-08-01 00:00:00+00:00,167,63,43,16
2025-08-02 00:00:00+00:00,121,58,3,3
2025-08-03 00:00:00+00:00,171,59,8,6
2025-08-04 00:00:00+00:00,165,63,39,10
2025-08-05 00:00:00+00:00,170,79,28,18
2025-08-06 00:00:00+00:00,508,120,49,17
2025-08-07 00:00:00+00:00,256,90,24,16
2025-08-08 00:00:00+00:00,147,78,24,11
