url_path,views_total,views_unique
/keptn/lifecycle-toolkit,63,49
/keptn/lifecycle-toolkit/actions,14,14
/keptn/lifecycle-toolkit/issues,5,5
/keptn/lifecycle-toolkit/commits,4,2
/keptn/lifecycle-toolkit/blob/c9ee6cdcff58e73f7b30bc33dd8b4d5111b14db9/docs/docs/core-concepts/index.md,3,3
/keptn/lifecycle-toolkit/commits/main,3,3
/keptn/lifecycle-toolkit/graphs/contributors,3,3
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,3,2
/keptn/lifecycle-toolkit/pulse,3,2
/keptn/lifecycle-toolkit/graphs/commit-activity,3,1
