referrer,views_total,views_unique
keptn.sh,407,93
github.com,311,67
Google,204,65
youtube.com,22,3
Bing,18,3
lifecycle.keptn.sh,17,3
summerofcode.withgoogle.com,11,8
cncf.io,10,8
medium.com,9,3
teams.internal.dynatrace.com,8,1
