referrer,views_total,views_unique
keptn.sh,158,41
github.com,122,29
Google,94,35
cncf.io,12,9
Bing,12,1
medium.com,11,5
contribute.cncf.io,5,2
chatgpt.com,3,3
linkedin.com,2,2
t.co,2,1
