referrer,views_total,views_unique
Google,301,55
keptn.sh,266,53
Bing,181,4
github.com,174,31
medium.com,28,7
statics.teams.cdn.office.net,7,2
youtube.com,6,2
cncf.io,4,4
DuckDuckGo,2,2
gitcode.com,2,1
