url_path,views_total,views_unique
/keptn/lifecycle-toolkit,307,169
/keptn/lifecycle-toolkit/issues,83,27
/keptn/lifecycle-toolkit/tree/main/metrics-operator/controllers/common/providers,46,5
/keptn/lifecycle-toolkit/issues/3727,38,10
/keptn/lifecycle-toolkit/tree/main/chart,37,10
/keptn/lifecycle-toolkit/graphs/contributors,32,9
/keptn/lifecycle-toolkit/pull/3729,28,2
/keptn/lifecycle-toolkit/pulls,27,13
/keptn/lifecycle-toolkit/tree/main/metrics-operator,25,5
/keptn/lifecycle-toolkit/tree/main/metrics-operator/controllers/common/providers/prometheus,25,3
