referrer,views_total,views_unique
keptn.sh,63,23
Google,55,14
cncf.io,14,5
github.com,8,5
contribute.cncf.io,5,4
medium.com,3,2
chatgpt.com,2,2
cloudnativenow.com,1,1
sessionize.com,1,1
thenewstack.io,1,1
