url_path,views_total,views_unique
/keptn/lifecycle-toolkit,89,65
/keptn/lifecycle-toolkit/issues,10,6
/keptn/lifecycle-toolkit/releases,4,2
/keptn/lifecycle-toolkit/discussions,3,3
/keptn/lifecycle-toolkit/tree/main/dashboards/grafana,3,2
/keptn/lifecycle-toolkit/tree/main/dashboards/grafana/configmap,3,1
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,3,1
/keptn/lifecycle-toolkit/blob/main/.chainsaw-local.yaml,2,2
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,2,2
/keptn/lifecycle-toolkit/blob/main/renovate.json,2,2
