referrer,views_total,views_unique
keptn.sh,429,77
github.com,314,68
Google,220,57
medium.com,72,9
youtube.com,23,3
cloudevents.io,16,1
summerofcode.withgoogle.com,14,7
lifecycle.keptn.sh,12,3
Bing,10,1
teams.internal.dynatrace.com,8,1
