referrer,views_total,views_unique
keptn.sh,160,31
Google,138,38
DuckDuckGo,70,2
github.com,65,21
chatgpt.com,15,6
statics.teams.cdn.office.net,13,4
kyverno.github.io,7,1
Bing,5,1
jiraeu.epam.com,4,1
medium.com,3,3
