url_path,views_total,views_unique
/keptn/lifecycle-toolkit,261,158
/keptn/lifecycle-toolkit/issues,53,22
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,41,11
/keptn/lifecycle-toolkit/tree/main/chart,36,9
/keptn/lifecycle-toolkit/tree/main/examples,30,9
/keptn/lifecycle-toolkit/discussions,22,2
/keptn/lifecycle-toolkit/pulls,19,8
/keptn/lifecycle-toolkit/graphs/contributors,19,4
/keptn/lifecycle-toolkit/blob/main/chart/values.yaml,17,7
/keptn/lifecycle-toolkit/blob/main/chart/Chart.yaml,16,4
